sep=|
Flow|Field #|Beginning Location|Length|Contents|Name|Code Structure Description|IJE Only|VRDR Profile|Field|Encoding|Comments
Mortality|1|1|4|Date of Death--Year|DOD_YR|4 digit year||DeathDate|value|dateTime|Required for processing
Mortality|2|5|2|"State| U.S. Territory or Canadian Province of Death - code"|DSTATE|"2 letter postal code"||DeathLocation|address.state or address.state.extension[nationalReportingJurisdictionId ]|codeable|[StatesTerritoriesProvincesVS] in state field or [JurisdictionVS] in extension
Mortality|NA|NA|NA|Death Record Identifier|*NO IJE MAPPING*|"YYYYJJNNNNNN   YYYY = death year JJ = jurisdiction  and NNNNNN = certificate number"||DeathCertificateDocument|identifier.value|string(12)|"YYYYJJNNNNNN  YYYY = death year JJ = jurisdiction  and NNNNNN = certificate number"
Mortality|NA|NA|NA|Death Record Identifier|*NO IJE MAPPING*|"YYYYJJNNNNNN YYYY = death year JJ = jurisdiction  and NNNNNN = certificate number"||CauseOfDeathCodedContentBundle|identifier.value|string(12)|"YYYYJJNNNNNN  YYYY = death year JJ = jurisdiction  and NNNNNN = certificate number"
Mortality|NA|NA|NA|Death Record Identifier|*NO IJE MAPPING*|"YYYYJJNNNNNN YYYY = death year JJ = jurisdiction  and NNNNNN = certificate number"||DemographicCodedContentBundle|identifier.value|string(12)|"YYYYJJNNNNNN  YYYY = death year JJ = jurisdiction  and NNNNNN = certificate number"
Mortality|3|7|6|Certificate Number|FILENO|Left 0 filled; 000001-999999||DeathCertificateDocument|identifier.extension[ certificateNumber].value|string(6)|-
Mortality|3|7|6|Certificate Number|FILENO|Left 0 filled; 000001-999999||CauseOfDeathCodedContentBundle|identifier.extension[ certificateNumber].value|string(6)|-
Mortality|3|7|6|Certificate Number|FILENO|Left 0 filled; 000001-999999||DemographicCodedContentBundle|identifier.extension[ certificateNumber].value|string(6)|-
Mortality|4|13|1|Void flag|VOID|"0 =Default; Valid Record 1 = VOID record"||<not implemented>|||-
Mortality|5|14|12|Auxiliary State file number|AUXNO|000000000001-999999999999; Blank||DeathCertificateDocument|identifier.extension[auxiliaryStateIdentifier1].value|string(12)|-
Mortality|5|14|12|Auxiliary State file number|AUXNO|000000000001-999999999999; Blank||CauseOfDeathCodedContentBundle|identifier.extension[auxiliaryStateIdentifier1].value|string(12)|-
Mortality|5|14|12|Auxiliary State file number|AUXNO|000000000001-999999999999; Blank||DemographicCodedContentBundle|identifier.extension[auxiliaryStateIdentifier1].value|string(12)|-
Mortality|6|26|1|Source flag: paper/electronic|MFILED|"0 = Electronic Mode 1 = Paper Mode 2 = Mixed Mode"||DeathCertificate|extension[ filingFormat] |codeable| [FilingFormatVS]
Mortality|7|27|50|Decedent's Legal Name--Given |GNAME|||Decedent|"name.given | name.use = official"|string|-
Mortality|8|77|1|Decedent's Legal Name--Middle|MNAME|||Decedent|"name.given | name.use = official (first letter)"|string|-
Mortality|9|78|50|Decedent's Legal Name--Last|LNAME|Last name is required||Decedent|"name.family | name.use = official"|string|-
Mortality|10|128|10|Decedent's Legal Name--Suffix|SUFF|||Decedent|"name.suffix | name.use = official"|string|-
Mortality|11|138|1|Alias Record Flag|ALIAS|"0 = Original Record
1 = Alias Record"||<not implemented>|||-
Mortality|12|139|50|Father's Surname|FLNAME|||DecedentFather|name.family|string|-
Mortality|13|189|1|Sex|SEX|"M = Male
F = Female
U = Unknown"||Decedent|extension[NVSS-SexAtDeath] |codeable|[AdministrativeGenderVS]
Mortality|14|190|1|Sex--Edit Flag|SEX_BYPASS|"0 = Edit Passed
1 = Edit Failed| Data Queried| and Verified"||<not implemented>|||-
Mortality|15|191|9|Social Security Number|SSN|9 digit SSN; blank if unknown or not sharable||Decedent|"identifier.value where system = 'http://hl7.org/fhir/sid/us-ssn and type.coding.code=""SB"""|string|-
Mortality|16|200|1|Decedent's Age--Type|AGETYPE|"1 = Years
2 = Months
4 = Days
5 = Hours
6 = Minutes
9 = Unknown (not classifiable)"||DecedentAge|valueQuantity.code|codeable|[UnitsOfAgeVS]
Mortality|17|201|3|Decedent's Age--Units|AGE |"001 - 135| 999
Codes: If AGETYPE = 1 then 001-135| 999
                                        2 then 001-011| 999
                                        4 then 001-027| 999
                                        5 then 001-023| 999
                                        6 then 001-059| 999
                                        9 then 999"||DecedentAge|valueQuantity.value|decimal|-
Mortality|18|204|1|Decedent's Age--Edit Flag|AGE_BYPASS|"0 = Edit Passed
1 = Edit Failed| Data Queried| and Verified"||DecedentAge|value.extension[BypassEditFlag].value|codeable|[EditBypass01VS]
Mortality|19|205|4|Date of Birth--Year|DOB_YR|"4 digit year; <=year of death| 9999"||Decedent|birthDate|dateTime|See [PartialDatesAndTimes]
Mortality|20|209|2|Date of Birth--Month|DOB_MO|"01-12| 99"||Decedent|birthDate|dateTime|See [PartialDatesAndTimes]
Mortality|21|211|2|Date of Birth--Day|DOB_DY|"01-31 (based on month)| 99"||Decedent|birthDate|dateTime|See [PartialDatesAndTimes]
Mortality|22|213|2|Birthplace--Country|BPLACE_CNT|NCHS Instruction Manual: Part 8||Decedent|extension[patient-birthPlace].value[x].country |string|[BirthplaceCountryVS]
Mortality|23|215|2|"State, U.S. Territory or Canadian Province of Birth - code"|BPLACE_ST|"NCHS Instruction Manual: Part 8
   ZZ = UNKNOWN OR BLANK U.S. STATE OR TERRITORY OR UNKNOWN/ UNCLASSIFIABLE COUNTRY
   XX = COUNTRY IS CANADA BUT UNKNOWN CANADIAN PROVINCE OR ANY COUNTRY THAT IS KNOWN| BUT NOT U.S. OR CANADA
For U.S. Territories:
   MP  NORTHERN MARIANAS
   AS  AMERICAN SAMOA
   GU  GUAM
   VI   VIRGIN ISLANDS
   PR  PUERTO RICO
For Canadian Provinces:
   AB  ALBERTA
   BC  BRITISH COLUMBIA
   MB  MANITOBA
   NB  NEW BRUNSWICK
   NL  NEWFOUNDLAND AND LABRADOR
   NS  NOVA SCOTIA
   NT  NORTHWEST TERRITORIES
   NU  NUNAVUT
   ON  ONTARIO
   PE  PRINCE EDWARD ISLAND
   QC  QUEBEC
   SK  SASKATCHEWAN
   YT  YUKON"||Decedent|extension[patient-birthPlace].value[x].state|string|[StatesTerritoriesProvincesVS]
Mortality|24|217|5|Decedent's Residence--City|CITYC|NCHS Instruction Manual: Part 8||Decedent|address.city.extension[ cityCode ]|string|see [CityCodes]
Mortality|25|222|3|Decedent's Residence--County|COUNTYC|NCHS Instruction Manual: Part 8||Decedent|address.district.extension[ countyCode ]|string|see [CountyCodes]
Mortality|26|225|2|"State| U.S. Territory or Canadian Province of Decedent's residence - code"|STATEC|"NCHS Instruction Manual: Part 8
   ZZ = UNKNOWN OR BLANK U.S. STATE OR TERRITORY OR UNKNOWN/ UNCLASSIFIABLE COUNTRY
   XX = COUNTRY IS CANADA BUT UNKNOWN CANADIAN PROVINCE OR ANY COUNTRY THAT IS KNOWN| BUT NOT U.S. OR CANADA
For U.S. Territories:
   MP  NORTHERN MARIANAS
   AS  AMERICAN SAMOA
   GU  GUAM
   VI   VIRGIN ISLANDS
   PR  PUERTO RICO
For Canadian Provinces:
   AB  ALBERTA
   BC  BRITISH COLUMBIA
   MB  MANITOBA
   NB  NEW BRUNSWICK
   NL  NEWFOUNDLAND AND LABRADOR
   NS  NOVA SCOTIA
   NT  NORTHWEST TERRITORIES
   NU  NUNAVUT
   ON  ONTARIO
   PE  PRINCE EDWARD ISLAND
   QC  QUEBEC
   SK  SASKATCHEWAN
   YT  YUKON"||Decedent|address.state|string|[StatesTerritoriesProvincesVS]
Mortality|27|227|2|Decedent's Residence--Country|COUNTRYC|NCHS Instruction Manual: Part 8||Decedent|address.country|string|[ResidenceCountryVS]
Mortality|28|229|1|Decedent's Residence--Inside City Limits|LIMITS|Y = Yes N = No.  U = Unknown ||Decedent|address.city.extension[ withinCityLimits] |codeable|[YesNoUnknownVS]
